#BLTrackFile2 MW927
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-0.889206 0.741929 120380 0.039975 2.73751 8912.14 403.771 2212 1 1 0 1 0 0 0 0 0 0 42.2755 120382 0 0 0 1.75026 0.73893 0 0 8023.12 
-7.55887 1.55085 120380 -4.92866 0.872198 8881.59 403.779 2212 2 1 0 1 0 0 0 0 0 0 42.4201 120380 0 0 0 -2.18434 -0.461093 0 0 7992.75 
2.72262 2.92229 120380 2.46284 0.2581 8850.7 403.788 2212 3 1 0 1 0 0 0 0 0 0 42.5675 120378 0 0 0 2.6851 -1.04083 0 0 7962.03 
1.57921 2.34067 120380 1.4166 0.491132 8869.86 403.783 2212 4 1 0 1 0 0 0 0 0 0 42.476 120379 0 0 0 1.49016 -0.910935 0 0 7981.07 
7.5968 2.97353 120380 5.37759 2.07227 8866.23 403.784 2212 5 1 0 1 0 0 0 0 0 0 42.4933 120379 0 0 0 3.32011 -0.042043 0 0 7977.47 
-1.45521 2.44616 120380 -0.895932 0.417554 8860.19 403.786 2212 6 1 0 1 0 0 0 0 0 0 42.5221 120379 0 0 0 -0.423924 -0.856072 0 0 7971.46 
2.57742 7.75982 120380 1.68544 3.5141 8899.3 403.774 2212 7 1 0 1 0 0 0 0 0 0 42.3361 120381 0 0 0 0.68916 -2.01994 0 0 8010.36 
4.51429 -1.1587 120380 3.27941 2.13405 8947.94 403.761 2212 8 1 0 1 0 0 0 0 0 0 42.1071 120384 0 0 0 2.24655 0.810441 0 0 8058.72 
1.29658 2.23555 120380 0.945523 0.205785 8920.1 403.768 2212 9 1 0 1 0 0 0 0 0 0 42.2378 120382 0 0 0 0.760796 -1.77945 0 0 8031.04 
-0.306123 1.19338 120380 0.173459 2.26223 8874.06 403.782 2212 10 1 0 1 0 0 0 0 0 0 42.456 120380 0 0 0 0.9334 0.863595 0 0 7985.25 
-6.44434 0.76935 120380 -4.55338 2.54132 8861.63 403.786 2212 11 1 0 1 0 0 0 0 0 0 42.5153 120379 0 0 0 -3.07635 1.4294 0 0 7972.89 
-3.87283 3.65915 120380 -2.73821 0.980108 8889.49 403.777 2212 12 1 0 1 0 0 0 0 0 0 42.3826 120381 0 0 0 -1.78445 -1.51091 0 0 8000.59 
-1.81797 -0.559256 120380 -2.01085 1.64796 8892.69 403.776 2212 13 1 0 1 0 0 0 0 0 0 42.3674 120381 0 0 0 -3.02079 0.959189 0 0 8003.78 
-2.13669 0.0398 120380 -0.571763 -0.252138 8884.24 403.778 2212 14 1 0 1 0 0 0 0 0 0 42.4075 120380 0 0 0 1.83979 -0.523772 0 0 7995.38 
1.26106 0.127232 120380 0.492685 0.349546 8868.47 403.783 2212 15 1 0 1 0 0 0 0 0 0 42.4826 120379 0 0 0 -0.749481 0.043346 0 0 7979.69 
-3.29731 2.64208 120380 -1.49183 2.11788 8854.81 403.787 2212 16 1 0 1 0 0 0 0 0 0 42.5479 120379 0 0 0 0.800953 0.323179 0 0 7966.11 
