,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 33,-4.094060148968166,236.38300390580704,3.972430025873851e-08,2.6092860255539243,3.8521560467481017,4.646580307292201,0.0
gekko x 33,,,,2.6092860255539243,3.8521560467481017,4.646580307292201,0.0
scipy x 34,-2.6971012714822646,192.65572860016735,5.074556102728687e-08,2.744634203388521,3.784397097064355,4.4402502070059064,0.0
gekko x 34,,,,2.744634203388521,3.784397097064355,4.4402502070059064,0.0
scipy x 35,-3.338090704075602,187.26940362297296,5.0600611868207324e-08,2.6702258270527683,3.8355236894134146,4.725053626561187,0.0
gekko x 35,,,,2.6702258270527683,3.8355236894134146,4.725053626561187,0.0
scipy x 36,-4.0489890267405455,179.87135591528278,4.43202280602429e-08,2.614728322126931,3.4633012909877126,4.7577005648795785,0.0
gekko x 36,,,,2.614728322126931,3.4633012909877126,4.7577005648795785,0.0
scipy x 37,-7.812088736872222,315.39570246680154,2.447491936963771e-08,2.7777044679701186,3.260739593850392,4.878564500763168,0.0
gekko x 37,,,,2.7777044679701186,3.260739593850392,4.878564500763168,0.0
scipy x 38,-4.023224690817324,203.61530773675904,4.458300894013318e-08,2.809075585598339,3.629887452264507,4.819028987289376,0.0
gekko x 38,,,,2.809075585598339,3.629887452264507,4.819028987289376,0.0
scipy x 39,-5.8764416839485465,231.53601711817046,3.2744701067852845e-08,2.689889394254257,3.3176653219164143,4.882545299933933,0.0
gekko x 39,,,,2.689889394254257,3.3176653219164143,4.882545299933933,0.0
scipy x 40,-4.196461659765091,194.83703232057127,4.4127738577449186e-08,2.6360814458758512,3.6621654660390988,4.838012288622079,0.0
gekko x 40,,,,2.6360814458758512,3.6621654660390988,4.838012288622079,0.0
scipy x 41,-10.188203171311436,419.4224995389759,1.668841743151552e-08,2.7020298448883913,3.609689380393451,4.41890965797369,0.0
gekko x 41,,,,2.7020298448883913,3.609689380393451,4.41890965797369,0.0
scipy x 42,-2.716825733950535,139.8127556744751,6.486927964260781e-08,2.7515005440928255,3.702577080772116,4.802766477912724,0.0
gekko x 42,,,,2.7515005440928255,3.702577080772116,4.802766477912724,0.0
scipy x 43,-4.254668163169505,173.31286638041914,4.4558768356080866e-08,2.8119193710150325,3.2297809487458355,4.880972368649433,1.0
gekko x 43,,,,2.8119193710150325,3.2297809487458355,4.880972368649433,0.0
scipy x 44,-4.324309367436701,259.768744696,3.476085083753864e-08,2.6250509343303734,3.764776114026659,4.477448907476244,0.0
gekko x 44,,,,2.6250509343303734,3.764776114026659,4.477448907476244,0.0
scipy x 45,-4.194946171823703,188.99408790872474,4.19330964364286e-08,2.642480989883641,3.4088661915322103,4.720646345789898,0.0
gekko x 45,,,,2.642480989883641,3.4088661915322103,4.720646345789898,0.0
