,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 0,0.2867729984386339,16.042668045199513,6.480690935987049e-07,3.133218019955072,5.490806490830043,9.74898528190878,1.0
gekko x 0,0.26070335168,16.429912639,6.2954019837e-07,3.133218019955072,5.490806490830043,9.74898528190878,1.0
scipy x 1,0.24126957188677609,15.647293042231754,6.16888169579669e-07,3.0359139794791234,5.475414096020608,9.653559697832872,1.0
gekko x 1,0.26070335168,16.429912639,6.2954019837e-07,3.0359139794791234,5.475414096020608,9.653559697832872,1.0
scipy x 2,-0.03766654114872109,17.49121050805097,5.26200552362277e-07,3.0680591589112516,5.521210321257613,9.04795959553293,1.0
gekko x 2,0.26070335168,16.429912639,6.2954019837e-07,3.0680591589112516,5.521210321257613,9.04795959553293,1.0
scipy x 3,0.3135100448913847,15.298179541369597,6.195748045600146e-07,2.9778090289264023,5.413631898563273,9.75190572240723,1.0
gekko x 3,0.26070335168,16.429912639,6.2954019837e-07,2.9778090289264023,5.413631898563273,9.75190572240723,1.0
scipy x 4,0.12680758201164102,18.70237976086971,5.979952114795758e-07,3.3180452599414085,5.393672295835668,8.951091354829323,1.0
gekko x 4,0.26070335168,16.429912639,6.2954019837e-07,3.3180452599414085,5.393672295835668,8.951091354829323,1.0
scipy x 5,0.5145839133166804,17.087203874797137,7.011304135793638e-07,3.273435403899745,5.30652084763745,9.943700882393838,1.0
gekko x 5,0.26070335168,16.429912639,6.2954019837e-07,3.273435403899745,5.30652084763745,9.943700882393838,1.0
scipy x 6,0.27917709244829464,18.334902139719084,6.919638405037373e-07,3.47337861123381,5.478822052623956,9.459975046898283,1.0
gekko x 6,0.26070335168,16.429912639,6.2954019837e-07,3.47337861123381,5.478822052623956,9.459975046898283,1.0
scipy x 7,0.5447290727539489,18.11322899693201,7.41424903362894e-07,3.4629928867219517,5.307366187378923,9.946054234792443,1.0
gekko x 7,0.26070335168,16.429912639,6.2954019837e-07,3.4629928867219517,5.307366187378923,9.946054234792443,1.0
scipy x 8,0.11769424480195323,14.647312151957887,5.550689233868284e-07,2.8326822358441985,5.529050556825173,9.592473577562778,1.0
gekko x 8,0.26070335168,16.429912639,6.2954019837e-07,2.8326822358441985,5.529050556825173,9.592473577562778,1.0
scipy x 9,0.15491211296493404,16.874277326920055,6.043772398150783e-07,3.157280432339976,5.477085920000798,9.34049672515321,1.0
gekko x 9,0.26070335168,16.429912639,6.2954019837e-07,3.157280432339976,5.477085920000798,9.34049672515321,1.0
scipy x 10,0.3578624815106311,14.227746960864275,6.077768035817553e-07,2.8206850737509024,5.4555326548010665,10.035984818747922,1.0
gekko x 10,0.26070335168,16.429912639,6.2954019837e-07,2.8206850737509024,5.4555326548010665,10.035984818747922,1.0
scipy x 11,0.19546687623467449,17.409080259487975,6.381789027800907e-07,3.2799236647765317,5.497805224029341,9.401431087606692,1.0
gekko x 11,0.26070335168,16.429912639,6.2954019837e-07,3.2799236647765317,5.497805224029341,9.401431087606692,1.0
scipy x 12,0.35069126411312884,16.70963219663062,6.60394370621071e-07,3.2046537289525032,5.372250637084466,9.633567563441616,1.0
gekko x 12,0.26070335168,16.429912639,6.2954019837e-07,3.2046537289525032,5.372250637084466,9.633567563441616,1.0
scipy x 13,0.2288043598922906,16.867360872181163,6.50337958407211e-07,3.244831268860671,5.525316872961522,9.58242043026591,1.0
gekko x 13,0.26070335168,16.429912639,6.2954019837e-07,3.244831268860671,5.525316872961522,9.58242043026591,1.0
scipy x 14,0.31922963622547185,17.4559572151614,6.764072217160092e-07,3.3315954964861696,5.414209130687359,9.546814739552435,1.0
