,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 0,0.40536478084607885,16.96635988857264,6.738703482176028e-07,3.241112347130433,5.324991217931619,9.672011647993251,1.0
gekko x 0,0.26070272111,16.429959212,6.2953847065e-07,3.241112347130433,5.324991217931619,9.672011647993251,1.0
scipy x 1,0.42188671050476634,16.39474602053976,6.807211724134082e-07,3.191474810331948,5.398877786542566,9.908421039074938,1.0
gekko x 1,0.26070272111,16.429959212,6.2953847065e-07,3.191474810331948,5.398877786542566,9.908421039074938,1.0
scipy x 2,0.31094328575999086,17.360537428968694,6.81884867111306e-07,3.3388222245861514,5.458950843218384,9.614375383402518,1.0
gekko x 2,0.26070272111,16.429959212,6.2953847065e-07,3.3388222245861514,5.458950843218384,9.614375383402518,1.0
scipy x 3,0.2883908774211144,17.82203626091716,6.753464534731819e-07,3.377623913739258,5.434049998871229,9.462603277284618,1.0
gekko x 3,0.26070272111,16.429959212,6.2953847065e-07,3.377623913739258,5.434049998871229,9.462603277284618,1.0
scipy x 4,0.21641114491544872,17.916950896045485,6.350977627985472e-07,3.3121774203327266,5.403385103790489,9.229879379651136,1.0
gekko x 4,0.26070272111,16.429959212,6.2953847065e-07,3.3121774203327266,5.403385103790489,9.229879379651136,1.0
scipy x 5,0.45345284388452906,15.03060156935442,6.292715551740612e-07,2.915097133820672,5.347205316382777,10.016235926125404,1.0
gekko x 5,0.26070272111,16.429959212,6.2953847065e-07,2.915097133820672,5.347205316382777,10.016235926125404,1.0
scipy x 6,0.4198268689916422,17.50317495478211,7.302990632016806e-07,3.4247098508501317,5.465874898892371,9.915128005464224,1.0
gekko x 6,0.26070272111,16.429959212,6.2953847065e-07,3.4247098508501317,5.465874898892371,9.915128005464224,1.0
scipy x 7,0.33724847728771945,17.4747919485391,6.700928040211726e-07,3.310675651494075,5.357312253463873,9.491645479327508,1.0
gekko x 7,0.26070272111,16.429959212,6.2953847065e-07,3.310675651494075,5.357312253463873,9.491645479327508,1.0
scipy x 8,0.25078821669765394,15.928161265129141,6.238658621925646e-07,3.0772454924244164,5.45983047240967,9.619190113540412,1.0
gekko x 8,0.26070272111,16.429959212,6.2953847065e-07,3.0772454924244164,5.45983047240967,9.619190113540412,1.0
scipy x 9,0.4244873569900099,15.586954052269554,6.626883557953225e-07,3.0633521246389277,5.4288864514731205,10.044292476471544,1.0
gekko x 9,0.26070272111,16.429959212,6.2953847065e-07,3.0633521246389277,5.4288864514731205,10.044292476471544,1.0
scipy x 10,0.5046536063102283,17.833194413383406,7.195816978622039e-07,3.3988843795344446,5.294827592941143,9.824345089086624,1.0
