,alpha,beta,emit
file3 x scipy,-0.216875555,17.7453019,3.54e-07
file3 x gekko,-0.216837263,17.74179848,3.54e-07
file3 y scipy,-0.535437087,30.89687068,4.35e-07
file3 y gekko,0.535206068,-30.88353562,-4.35e-07
file3 x scipy,-0.2168755543375211,17.745301886238494,3.539107067190371e-07
file3 x gekko,-0.21683726244,17.741798469,3.5394492888e-07
file3 y scipy,-0.5354370906251587,30.89687078120721,4.3494944016620453e-07
file3 y gekko,0.53520720373,-30.883601071,-4.3504260787e-07
file3 x scipy,-0.2168755543375211,17.745301886238494,3.539107067190371e-07
file3 x gekko,-0.21683726244,17.741798469,3.5394492888e-07
file3 y scipy,-0.5354370906251587,30.89687078120721,4.3494944016620453e-07
file3 y gekko,0.53520720373,-30.883601071,-4.3504260787e-07
file3 x scipy,-0.2168755543375211,17.745301886238494,3.539107067190371e-07
file3 x gekko,-0.21683726244,17.741798469,3.5394492888e-07
file3 y scipy,-0.5354370906251587,30.89687078120721,4.3494944016620453e-07
file3 y gekko,0.53520720373,-30.883601071,-4.3504260787e-07
file3 x scipy,-0.2168755543375211,17.745301886238494,3.539107067190371e-07
file3 x gekko,-0.21683726244,17.741798469,3.5394492888e-07
file3 y scipy,-0.5354370906251587,30.89687078120721,4.3494944016620453e-07
file3 y gekko,0.53520720373,-30.883601071,-4.3504260787e-07
file3 x scipy,-0.2168755543375211,17.745301886238494,3.539107067190371e-07
file3 x gekko,-0.21683726244,17.741798469,3.5394492888e-07
file3 y scipy,-0.5354370906251587,30.89687078120721,4.3494944016620453e-07
file3 y gekko,0.53520720373,-30.883601071,-4.3504260787e-07
file3 x scipy,-0.21687555433752112,17.745301886238494,3.539107067190371e-07
file3 x gekko,-0.21683726244,17.741798469,3.5394492888e-07
file3 y scipy,-0.5354370906251587,30.89687078120721,4.3494944016620453e-07
file3 y gekko,0.53520720373,-30.883601071,-4.3504260787e-07
