,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 1,-4.4274721067018605,248.883908964858,3.586662370982523e-08,2.629981512612592,3.722683633858512,4.567938576494406,0.0
gekko x 1,-4.4274721067018605,248.883908964858,3.586662370982523e-08,2.629981512612592,3.722683633858512,4.567938576494406,0.0
scipy x 1,-4.085960524971839,186.12377002081004,4.209634852683395e-08,2.632587868252514,3.3907811567397235,4.670969150790186,0.0
gekko x 1,-4.085960524971839,186.12377002081004,4.209634852683395e-08,2.632587868252514,3.3907811567397235,4.670969150790186,0.0
scipy x 1,-3.778306659726433,207.169675591062,4.13039788591976e-08,2.729875379294584,3.505906848218633,4.536318124208915,0.0
gekko x 1,-3.778306659726433,207.169675591062,4.13039788591976e-08,2.729875379294584,3.505906848218633,4.536318124208915,0.0
scipy x 1,-3.2813480694945096,182.84259221301684,4.606462731800963e-08,2.6695311960095225,3.4964549589318143,4.481876923967314,0.0
gekko x 1,-3.2813480694945096,182.84259221301684,4.606462731800963e-08,2.6695311960095225,3.4964549589318143,4.481876923967314,0.0
scipy x 1,-4.892528111543027,231.98340239829287,3.4476104960315925e-08,2.752741920853992,3.3165954158242696,4.648784436366922,0.0
gekko x 1,-4.892528111543027,231.98340239829287,3.4476104960315925e-08,2.752741920853992,3.3165954158242696,4.648784436366922,0.0
scipy x 1,-7.48267329420804,305.60320547652907,2.364294822705432e-08,2.686400494930913,3.1567516672233724,4.695002229622679,0.0
gekko x 1,-7.48267329420804,305.60320547652907,2.364294822705432e-08,2.686400494930913,3.1567516672233724,4.695002229622679,0.0
scipy x 1,-3.442359934661918,187.94483948582243,4.512633170775584e-08,2.649731821442534,3.5507177507204664,4.522543356674681,0.0
gekko x 1,-3.442359934661918,187.94483948582243,4.512633170775584e-08,2.649731821442534,3.5507177507204664,4.522543356674681,0.0
scipy y 1,-8.747229780158175,123.35179881337712,7.936379811849831e-08,3.1376878509693893,4.656482097218531,9.911399181815463,0.0
gekko y 1,-8.747229780158175,123.35179881337712,7.936379811849831e-08,3.1376878509693893,4.656482097218531,9.911399181815463,0.0
scipy y 1,-8.12629557920161,124.40276505459262,8.634724166673289e-08,3.069104308188019,4.904423043795141,9.814211545399774,0.0
gekko y 1,-8.12629557920161,124.40276505459262,8.634724166673289e-08,3.069104308188019,4.904423043795141,9.814211545399774,0.0
scipy y 1,-8.823067967009623,136.31166123533387,7.70074397561842e-08,3.0643272075568864,4.813094840665459,9.641163724859398,0.0
gekko y 1,-8.823067967009623,136.31166123533387,7.70074397561842e-08,3.0643272075568864,4.813094840665459,9.641163724859398,0.0
scipy y 1,-12.47071517143702,167.47677762872584,5.73940244934832e-08,3.1554442980315134,4.661331081407679,10.143979376204705,0.0
gekko y 1,-12.47071517143702,167.47677762872584,5.73940244934832e-08,3.1554442980315134,4.661331081407679,10.143979376204705,0.0
scipy y 1,-9.46989076972164,133.9670085213634,7.80585719257632e-08,3.095035469205348,4.924890553794164,10.20934048689557,0.0
gekko y 1,-9.46989076972164,133.9670085213634,7.80585719257632e-08,3.095035469205348,4.924890553794164,10.20934048689557,0.0
