data_label,Current,Field,Eff Length,Gradient
sample_0_1,0.0,0.0286806,0.4572,0.06273097112860893
sample_1_1,5.0,0.12247384840205626,0.4572,0.2678780586221703
sample_2_1,10.0,0.2161572376729,0.4572,0.472784859302056
sample_3_1,15.0,0.30974988748655624,0.4572,0.6774931922278133
sample_4_1,20.0,0.40326992228639996,0.4572,0.8820426996640419
sample_5_1,25.0,0.49673447128515624,0.4572,1.0864708470803943
sample_6_1,30.0,0.5901596684649,0.4572,1.2908129231515748
sample_7_1,35.0,0.6835606525770562,0.4572,1.495102039757341
sample_8_1,40.0,0.7769515671424001,0.4572,1.6993691319825024
sample_9_1,45.0,0.8703455604510563,0.4572,1.903642958116921
sample_10_1,50.0,0.9637547855624999,0.4572,2.1079500996555116
sample_11_1,55.0,1.057190400305556,0.4572,2.3123149612982417
sample_12_1,60.0,1.1506625672783999,0.4572,2.516759770950131
sample_13_1,65.0,1.2441804538485561,0.4572,2.7213045797212514
sample_14_1,70.0,1.3377522321528998,0.4572,2.9259672619267274
sample_15_1,75.0,1.4313850790976559,0.4572,3.1307635150867363
sample_16_1,80.0,1.5250851763584,0.4572,3.335706859926509
sample_17_1,85.0,1.6188577103800563,0.4572,3.5408086403763264
sample_18_1,90.0,1.7127068723769001,0.4572,3.7460780235715228
sample_19_1,95.0,1.8066358583325564,0.4572,3.9515219998524853
sample_20_1,100.0,1.9006468689999998,0.4572,4.157145382764654
sample_21_1,105.0,1.9947411099015562,0.4572,4.362950809058522
sample_22_1,110.0,2.0889187913289002,0.4572,4.568938738689633
sample_23_1,115.0,2.183179128343056,0.4572,4.775107454818583
sample_24_1,120.0,2.2775203407744,0.4572,4.981453063811023
sample_25_1,125.0,2.3719396532226558,0.4572,5.187969495237655
