,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 0,1.2202056395216014,7.609624495309451,6.037601858269055e-07,1.6740303479034888,-2.6192735160313227,5.133130074512614,1.0
gekko x 0,1.0739077754,7.4850055406,6.1193394736e-07,1.6740303479034888,-2.6192735160313227,5.133130074512614,1.0
scipy x 1,1.6500761818577894,9.516490015391513,6.018350882468258e-07,1.7999339910612933,-2.5330654952151765,5.315157359179051,1.0
gekko x 1,1.0739077754,7.4850055406,6.1193394736e-07,1.7999339910612933,-2.5330654952151765,5.315157359179051,1.0
scipy x 2,1.6862822913953939,9.21597433922562,5.727933668184484e-07,1.6977961308863312,-2.5904249983151186,5.419816228044656,1.0
gekko x 2,1.0739077754,7.4850055406,6.1193394736e-07,1.6977961308863312,-2.5904249983151186,5.419816228044656,1.0
scipy x 3,1.4110858093585557,8.417644270272085,5.755033077165731e-07,1.6846933829560118,-2.5157735023596963,5.0903342655887265,1.0
gekko x 3,1.0739077754,7.4850055406,6.1193394736e-07,1.6846933829560118,-2.5157735023596963,5.0903342655887265,1.0
scipy x 4,1.3282233199619269,8.33392451131933,6.265882731112258e-07,1.778152798849248,-2.5707203305306363,5.140451012899889,1.0
gekko x 4,1.0739077754,7.4850055406,6.1193394736e-07,1.778152798849248,-2.5707203305306363,5.140451012899889,1.0
scipy x 5,1.018721378316521,7.453099084860467,6.391274248270566e-07,1.7833272313331447,-2.604518632309794,4.902989667791605,1.0
gekko x 5,1.0739077754,7.4850055406,6.1193394736e-07,1.7833272313331447,-2.604518632309794,4.902989667791605,1.0
scipy x 6,0.8874990826780919,7.106353156348027,6.212742297376488e-07,1.7588814717141517,-2.6007846591844053,4.751229187764119,1.0
gekko x 6,1.0739077754,7.4850055406,6.1193394736e-07,1.7588814717141517,-2.6007846591844053,4.751229187764119,1.0
scipy x 7,1.538225382123795,8.92274694714486,6.005527510291888e-07,1.749923765843933,-2.565281245559766,5.289729513567649,1.0
gekko x 7,1.0739077754,7.4850055406,6.1193394736e-07,1.749923765843933,-2.565281245559766,5.289729513567649,1.0
scipy x 8,0.9081506819693063,7.2027061585444105,6.352132651962674e-07,1.7851584121185087,-2.6142072869044273,4.796061555930116,1.0
gekko x 8,1.0739077754,7.4850055406,6.1193394736e-07,1.7851584121185087,-2.6142072869044273,4.796061555930116,1.0
scipy x 9,0.7937988434876165,7.174997630929308,6.055331383592913e-07,1.7877157737265252,-2.5484891197076163,4.524283112755778,1.0
gekko x 9,1.0739077754,7.4850055406,6.1193394736e-07,1.7877157737265252,-2.5484891197076163,4.524283112755778,1.0
scipy x 10,1.0874582224310878,7.553456685509761,6.351564385642696e-07,1.7645803989198057,-2.607332046238469,4.983660757288991,1.0
gekko x 10,1.0739077754,7.4850055406,6.1193394736e-07,1.7645803989198057,-2.607332046238469,4.983660757288991,1.0
scipy x 11,1.6494307689196301,9.43800237233834,5.982365417159549e-07,1.7829351037963013,-2.5450294524640293,5.333571689402257,1.0
gekko x 11,1.0739077754,7.4850055406,6.1193394736e-07,1.7829351037963013,-2.5450294524640293,5.333571689402257,1.0
scipy x 12,1.4892607469197021,8.582936657153693,6.080096966563834e-07,1.7266787931030656,-2.620827364285036,5.356628866400275,1.0
gekko x 12,1.0739077754,7.4850055406,6.1193394736e-07,1.7266787931030656,-2.620827364285036,5.356628866400275,1.0
scipy x 13,1.5379614556053955,8.770124460352799,6.066201881330493e-07,1.7350123040007823,-2.619038720715357,5.3892763632793015,1.0
gekko x 13,1.0739077754,7.4850055406,6.1193394736e-07,1.7350123040007823,-2.619038720715357,5.3892763632793015,1.0
scipy x 14,1.2763228265016322,8.117080396700215,6.175902354775384e-07,1.7519460094763795,-2.5635584387719677,5.079364091297745,1.0
gekko x 14,1.0739077754,7.4850055406,6.1193394736e-07,1.7519460094763795,-2.5635584387719677,5.079364091297745,1.0
scipy x 15,0.580806242044676,6.427533989508276,5.485166137136023e-07,1.6786682701561835,-2.5914041896025872,4.391589079926184,1.0
gekko x 15,1.0739077754,7.4850055406,6.1193394736e-07,1.6786682701561835,-2.5914041896025872,4.391589079926184,1.0
scipy x 16,1.4973649162056653,8.7916046550354,6.304499517663566e-07,1.7883817378497147,-2.6203421197936163,5.3735824175229565,1.0
gekko x 16,1.0739077754,7.4850055406,6.1193394736e-07,1.7883817378497147,-2.6203421197936163,5.3735824175229565,1.0
scipy x 17,1.6276325263211524,9.007306069141881,5.511921800670973e-07,1.6559990705812209,-2.5306262908045203,5.25934416461242,1.0
gekko x 17,1.0739077754,7.4850055406,6.1193394736e-07,1.6559990705812209,-2.5306262908045203,5.25934416461242,1.0
scipy x 18,0.9646669811350433,7.422174739759835,6.401117118188672e-07,1.803135289268603,-2.5934545803265223,4.816879080898247,1.0
gekko x 18,1.0739077754,7.4850055406,6.1193394736e-07,1.803135289268603,-2.5934545803265223,4.816879080898247,1.0
scipy x 19,0.5385787602136196,6.232296582185777,5.382954150026435e-07,1.6518266286722687,-2.6152789895133877,4.40120951640651,1.0
gekko x 19,1.0739077754,7.4850055406,6.1193394736e-07,1.6518266286722687,-2.6152789895133877,4.40120951640651,1.0
scipy x 20,0.9930407599807727,7.310226556845121,6.077341496253418e-07,1.7269973994361878,-2.5605996920657286,4.796272581843757,1.0
